test_case,iteration,timestamp_utc,latency_seconds,prediction
real_2,66,58:37.5,0.085634625,FAKE
real_2,67,58:37.6,0.09672975,FAKE
real_2,68,58:37.7,0.094584209,FAKE
real_2,69,58:37.8,0.094469334,FAKE
real_2,70,58:37.9,0.264849916,FAKE
real_2,71,58:38.2,0.089089416,FAKE
real_2,72,58:38.2,0.267722667,FAKE
real_2,73,58:38.5,0.272513125,FAKE
real_2,74,58:38.8,0.092267959,FAKE
real_2,75,58:38.9,0.083632875,FAKE
real_2,76,58:39.0,0.091497792,FAKE
real_2,77,58:39.1,0.094324292,FAKE
real_2,78,58:39.1,0.091822208,FAKE
real_2,79,58:39.2,0.0903435,FAKE
real_2,80,58:39.3,0.091992708,FAKE
real_2,81,58:39.4,0.10095475,FAKE
real_2,82,58:39.5,0.095066541,FAKE
real_2,83,58:39.6,0.10253425,FAKE
real_2,84,58:39.7,0.088552583,FAKE
real_2,85,58:39.8,0.277049584,FAKE
real_2,86,58:40.1,0.103160417,FAKE
real_2,87,58:40.2,0.093618916,FAKE
real_2,88,58:40.3,0.095048792,FAKE
real_2,89,58:40.4,0.092264375,FAKE
real_2,90,58:40.5,0.086633583,FAKE
real_2,91,58:40.6,0.260664458,FAKE
real_2,92,58:40.8,0.091813458,FAKE
real_2,93,58:40.9,0.095447667,FAKE
real_2,94,58:41.0,0.098415541,FAKE
real_2,95,58:41.1,0.092377792,FAKE
real_2,96,58:41.2,0.095555042,FAKE
real_2,97,58:41.3,0.277046542,FAKE
real_2,98,58:41.6,0.265731792,FAKE
real_2,99,58:41.8,0.087223667,FAKE
real_2,100,58:41.9,0.0899135,FAKE
